frase,agresividad,manipulacion,sarcasmo
es que yo soy diferente al resto de los hombres,0.2,0.7,0.1
Es que a mi nadie me da pelota yo siempre soy demasiado bueno y me terminan dejando,0.2,0.9,0.1
todo lo malo que le pasa es tu culpa,0.9,0.8,0.0
¿Le estás enviando mensajes a esa chica coqueta del trabajo?,0.3,0.6,0.2
¿Qué? ¿No puedo hablar con mis amigos?!,0.7,0.5,0.4
¡Oh soy lo peor!,0.2,0.8,0.3
Supongo que tendré que hacerlo yo mismo,0.2,0.5,0.7
Si de verdad amas a alguien,0.1,0.7,0.0
Eres demasiado sensible,0.5,0.7,0.1
Estás exagerando,0.4,0.6,0.2
Sé que estoy equivocado solo quiero tu perdón,0.1,0.6,0.0
Nadie más te amará jamás como yo.,0.2,0.9,0.1
Odio tener que andar con cuidado a tu alrededor,0.6,0.5,0.3
Eso no sucedió,0.4,0.6,0.2
Yo no dije eso,0.4,0.6,0.2
Estás tergiversando mis palabras,0.5,0.6,0.2
Eres simplemente inseguro y demasiado sensible. Solo era una broma,0.6,0.7,0.5
Estás dándole demasiadas vueltas a todo,0.4,0.6,0.2
Si dejaras de darle tantas vueltas a las cosas podríamos ser felices.,0.3,0.7,0.1
¿Por qué tienes que preguntar?,0.3,0.5,0.4
porque tienes tantas preguntas,0.3,0.5,0.4
Por qué no puedes simplemente ser feliz conmigo en este momento?,0.2,0.7,0.2
¿Por qué tienes que pensar en el pasado o en el futuro?,0.2,0.6,0.3
"Si desaparezco, simplemente esperen a que vuelva, no me busquen ni pregunten al respecto. Eso lo empeora y me altera.",0.5,0.7,0.1
Tu forma de amar es tóxica,0.7,0.6,0.2
¿Por qué siempre quieres hablar conmigo?,0.4,0.5,0.4
Pareces un niño que necesita a su madre.,0.6,0.6,0.3
No puedo serlo todo para ti,0.2,0.6,0.1
Quizás simplemente no eres apto para el,0.5,0.6,0.2
Está bien si no puedes hacerlo,0.1,0.3,0.4
pero debes informarme y disculparte,0.4,0.7,0.1
"Sí, porque conmigo estás a salvo y sabes que no me altero por tonterías y no exijo que los demás hagan cosas por mí",0.2,0.6,0.3
Tus sentimientos no son mi responsabilidad,0.5,0.7,0.1
estás eligiendo sentirte mal,0.4,0.8,0.1
"Simplemente no lo entiendes y nunca lo harás. Aun así, te quiero.",0.5,0.7,0.2
Eres demasiado necesitado,0.6,0.7,0.1
Eres demasiado paranoico,0.6,0.6,0.1
"Yo no discuto, tú discutes. Te encanta",0.5,0.6,0.4
Eres un inconformista,0.4,0.5,0.2
Tienes demasiadas palabras,0.5,0.5,0.3
Mi mejor amigo estaría de acuerdo conmigo,0.2,0.6,0.3
Siempre te pones a la defensiva,0.5,0.5,0.2
"Ustedes, mujeres",0.7,0.4,0.4
Solo era una broma,0.2,0.5,0.7
No estás diciendo sí y que,0.3,0.4,0.3
Te gusta hacerme enfadar,0.6,0.6,0.3
Por qué no lo has superado todavía? Nada es para tanto,0.5,0.7,0.4
"No tengo opiniones, conozco los hechos",0.4,0.5,0.5
"No estás acostumbrado a ayudar, así que tendré que enseñarte",0.4,0.7,0.4
Yo nunca dije eso,0.4,0.6,0.2
"No estoy enfadado, me estás echando la culpa a mí",0.5,0.7,0.2
"Te escucho, oigo cada palabra que dices. Soy la mejor oyente que conoces",0.1,0.6,0.3
Soy la persona más empática que conoces,0.1,0.6,0.2
Soy una persona muy tranquila,0.1,0.5,0.3
No fue así como sucedió. No es mi culpa si lo interpretaste de esa manera,0.4,0.8,0.2
"No aceptas mis disculpas, así que no podemos seguir",0.3,0.7,0.1
"Habla más despacio, estás hablando demasiado rápido",0.2,0.4,0.2
No entiendo lo que quieres decir. No tiene sentido lo que dices,0.3,0.5,0.3
Estás mentalmente inestable,0.8,0.6,0.1
Siento que esperes que sea perfecta,0.1,0.6,0.2
Por qué siempre me conviertes en el villano,0.3,0.7,0.3
Te estoy dando todo lo que puedo,0.1,0.6,0.1
Me cuesta un poco entender a qué te refieres.,0.1,0.4,0.2
Estás dándole demasiadas vueltas a las cosas. ¿Por qué haría yo eso?,0.4,0.6,0.3
Todo el mundo piensa eso.,0.3,0.6,0.2
Todo el mundo lo notó,0.3,0.6,0.2
Todo el mundo me lo dijo,0.3,0.6,0.2
Pero todo el mundo piensa que tú eres el irracional.,0.5,0.7,0.3
A nadie le gusta cuando tú,0.4,0.6,0.2
¿Por qué tenemos que volver a hablar de esto?,0.2,0.5,0.3
Yo nunca dije eso. Lo estás recordando mal,0.4,0.7,0.2
"Por favor, deja de darle tantas vueltas a las cosas",0.2,0.5,0.2
Siento que pienses que soy una persona terrible,0.1,0.7,0.1
"Esta no eres tú, la verdadera tú jamás diría algo tan horrible.",0.3,0.7,0.2
Estaré aquí cuando soluciones lo que sea que te pase.,0.1,0.6,0.3
Eres tan implacable,0.6,0.5,0.2
Vives en el pasado.,0.4,0.6,0.2
Estás atrapado en el pasado.,0.4,0.6,0.2
Simplemente no puedes superar las cosas.,0.4,0.6,0.2
Haces una montaña de un grano de arena.,0.4,0.6,0.3
No puedo decirte cosas ni mentirte solo por tu reacción.,0.3,0.5,0.2
Tienes problemas de confianza,0.6,0.5,0.1
Tienes problemas con todo el mundo.,0.6,0.5,0.2
Eres frío y amargo,0.7,0.5,0.2
Tienes problemas de ira,0.7,0.5,0.1
Otras relaciones no son así.,0.3,0.7,0.2
Por qué no puedes ser como,0.4,0.7,0.2
Incluso tu madre piensa mal sobre ti.,0.6,0.8,0.2
Mis amigos estan de acuerdo conmigo sobre ti,0.3,0.7,0.3
Mi mamá dijo esto sobre ti,0.3,0.7,0.2
Ni siquiera intentaste trabajar en esta relación,0.4,0.7,0.1
Estás loco,0.7,0.4,0.2
estas loca,0.7,0.4,0.2
Piensas demasiado en todo,0.3,0.5,0.2
Eres un puto paranoico,0.9,0.5,0.2
Yo nunca dije eso,0.4,0.6,0.2
Nunca dije eso,0.4,0.6,0.2
Arruinaste el día,0.6,0.6,0.1
Arruinaste la noche,0.6,0.6,0.1
Tienes problemas con todo.,0.6,0.5,0.2
Te encanta el drama.,0.5,0.6,0.3
Tienes que empezar una pelea,0.5,0.6,0.2
si estás tan convencido de que solo soy un mentiroso o que todos los problemas son culpa mía entonces puedes irte,0.4,0.8,0.2
Solo quieres pulsar el botón de explosión,0.4,0.6,0.3
Mi ex amigo dijo que yo podría hacerlo mejor que tú.,0.3,0.8,0.3
Mi ex no era así.,0.3,0.8,0.2
Mi relación con mi ex no era así.,0.3,0.8,0.2
"Quiero envejecer contigo para siempre, no puedo esperar a ser viejo contigo",0.1,0.6,0.0
Jamás te engañaría,0.1,0.7,0.0
Simplemente quieres rendirte,0.3,0.6,0.2
No puedes superar nada,0.4,0.6,0.1
"Guardas rencor, todo es guardar rencor y tener mentalidad de víctima.",0.6,0.7,0.2
Eres una mujer débil,0.8,0.5,0.2
Estás lleno de veneno y veneno,0.7,0.5,0.2
¿De qué estás hablando?,0.3,0.3,0.4
Añadiendo más jajaja,0.1,0.2,0.6
"Si quieres creer eso, no puedo convencerte de lo contrario.",0.2,0.5,0.4
Lo estás recordando mal.,0.4,0.6,0.2
